views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate
16436,1,815,2016-07-19,2018-10-12,15508,0,DA,1
2025,0,289,2017-12-27,2018-10-12,15540,0,HU,0
2276,1,1444,2014-10-29,2018-10-12,16004,0,NO,0
1104,1,728,2016-10-09,2018-10-07,16038,0,DA,1
1661,1,547,2017-04-13,2018-10-12,16045,0,NO,0
8154,0,954,2016-03-01,2018-10-11,16083,0,NO,1
3040,1,2335,2012-04-06,2018-08-28,16106,0,NO,0
3584,1,1729,2014-01-15,2018-10-10,16153,0,NO,0
74652,1,436,2017-08-02,2018-10-12,16425,0,HU,0
5153,0,1864,2013-09-03,2018-10-11,16504,0,HU,0
25048,0,2434,2012-01-15,2018-09-14,16511,0,DA,0
145897,0,1929,2013-06-08,2018-09-19,16868,0,DA,0
3456,0,493,2017-06-06,2018-10-12,16997,0,HU,0
2523,0,1100,2015-09-26,2018-09-30,17162,0,NO,1
503,1,1353,2015-01-15,2018-09-29,17183,0,HU,0
918,1,2208,2012-09-17,2018-10-04,17246,0,DA,0
13291,0,2448,2012-01-29,2018-10-12,17299,0,DA,1
879,1,649,2016-11-22,2018-09-02,17669,0,NO,1
26831,1,1287,2015-03-31,2018-10-08,17727,0,DA,1
3071,1,1478,2014-09-07,2018-09-24,17770,0,HU,0
2090,0,1509,2014-08-24,2018-10-11,17921,0,HU,0
461442,0,2102,2013-01-09,2018-10-12,17978,0,HU,0
5338,1,1397,2014-12-14,2018-10-11,18021,0,DA,1
37874,1,1304,2015-03-15,2018-10-09,18233,0,HU,1
56625,0,1339,2015-01-26,2018-09-26,18570,0,HU,1
20633,0,2470,2012-01-05,2018-10-10,19061,0,HU,0
2549,0,2343,2012-05-05,2018-10-04,19069,0,HU,0
11637,0,1223,2015-06-07,2018-10-12,19209,0,DA,1
6461,1,373,2017-10-04,2018-10-12,19263,0,NO,1
12809,0,2380,2012-04-06,2018-10-12,19384,0,HU,1
3637,1,484,2017-06-14,2018-10-11,19519,0,NO,1
37348,0,1378,2015-01-03,2018-10-12,19534,0,HU,1
5936,1,2259,2012-07-25,2018-10-01,19778,0,DA,0
2811,1,221,2018-03-05,2018-10-12,19882,0,HU,1
2307,0,1090,2015-10-15,2018-10-09,19948,0,NO,1
16595,0,413,2017-08-25,2018-10-12,20245,0,HU,1
16835,0,1864,2013-08-27,2018-10-04,20281,0,DA,0
12173,0,1817,2013-10-21,2018-10-12,20366,0,DA,1
4376,0,451,2017-07-17,2018-10-11,20643,0,DA,1
28349,1,747,2016-09-25,2018-10-12,20731,0,NO,1
21710,0,1757,2013-12-16,2018-10-08,20952,0,HU,0
1359,0,2041,2013-03-07,2018-10-08,21229,0,NO,0
13051,1,402,2017-09-04,2018-10-11,21327,0,HU,1
51474,0,2109,2013-01-02,2018-10-12,21394,0,HU,1
3946,1,1522,2014-08-12,2018-10-12,21434,0,HU,0
15719,0,2105,2013-01-05,2018-10-11,21692,0,HU,1
55799,0,2006,2013-04-15,2018-10-12,22429,0,HU,1
1686,0,1965,2013-04-03,2018-08-20,22592,0,DA,0
1943,0,1718,2014-01-28,2018-10-12,22891,0,HU,0
3206,1,588,2017-02-19,2018-09-30,22971,0,DA,1
7180,1,1097,2015-10-10,2018-10-11,23121,0,DA,0
11017,0,1248,2015-05-13,2018-10-12,23247,0,NO,1
7884,0,1015,2016-01-01,2018-10-12,23381,0,DA,0
3526,0,1340,2015-02-07,2018-10-09,23483,0,HU,0
10147,0,586,2017-03-05,2018-10-12,23555,0,HU,1
1147,0,2398,2012-03-10,2018-10-03,23811,0,NO,0
7799,1,1582,2014-06-13,2018-10-12,23855,0,DA,1
6147,1,1619,2014-05-07,2018-10-12,24115,0,DA,1
3090,0,1084,2015-10-23,2018-10-11,24150,0,HU,1
5830,0,1592,2014-06-03,2018-10-12,24538,0,DA,1
5366,0,674,2016-12-07,2018-10-12,24563,0,DA,1
31350,0,621,2017-01-29,2018-10-12,24581,0,DA,1
118254,0,2153,2012-11-18,2018-10-11,24637,0,DA,1
24209,0,1535,2014-07-30,2018-10-12,24679,0,DA,1
3069,0,1925,2013-06-02,2018-09-09,24861,0,HU,0
3741,0,1190,2015-07-08,2018-10-10,25264,0,DA,1
3276,0,2872,2010-11-06,2018-09-17,25464,0,DA,0
11216,0,692,2016-11-19,2018-10-12,25530,0,DA,1
3816,1,2154,2012-11-14,2018-10-08,25541,0,NO,1
1130,0,1118,2015-09-03,2018-09-25,25565,0,DA,1
18034,1,2893,2010-11-08,2018-10-10,25652,0,NO,0
8388,1,2303,2012-06-22,2018-10-12,25666,0,NO,1
6189,1,1291,2015-03-31,2018-10-12,25758,0,DA,1
11267,1,368,2017-10-09,2018-10-12,25858,0,NO,1
10267,0,2435,2012-02-07,2018-10-08,26013,0,DA,1
20002,0,2161,2012-11-11,2018-10-12,26017,0,DA,0
1721,0,1349,2015-01-31,2018-10-11,26185,0,HU,0
712,0,1977,2013-03-16,2018-08-14,26257,0,NO,0
27618,0,900,2016-04-25,2018-10-12,26326,0,HU,1
1437,0,1027,2015-12-13,2018-10-05,26365,0,DA,0
2454,0,2818,2011-01-01,2018-09-19,26394,0,DA,0
10550,1,2003,2013-04-18,2018-10-12,26594,0,HU,1
53835,1,1049,2015-11-28,2018-10-12,26671,0,NO,1
1117479,0,1353,2015-01-28,2018-10-12,26979,0,DA,0
5860,1,623,2017-01-22,2018-10-07,27012,0,DA,1
1280,1,1166,2015-08-03,2018-10-12,27127,0,DA,0
6634,0,2395,2012-03-21,2018-10-11,27531,0,DA,1
1961,0,1759,2013-12-18,2018-10-12,27715,0,NO,0
2945,1,2255,2012-08-07,2018-10-10,27738,0,NO,0
11368,0,1892,2013-08-06,2018-10-11,27771,0,DA,1
2296,0,1085,2015-10-23,2018-10-12,28174,0,DA,1
25793,0,757,2016-09-15,2018-10-12,28207,0,DA,1
3328,0,2109,2012-08-30,2018-06-09,28211,1,NO,0
900,0,1997,2013-02-17,2018-08-07,28406,0,DA,0
67605,1,2354,2012-05-02,2018-10-12,28507,0,DA,1
1376,0,400,2017-09-06,2018-10-11,28536,0,DA,0
14585,0,2042,2013-03-09,2018-10-11,29055,0,HU,0
6709,1,2073,2013-02-07,2018-10-12,29481,0,HU,1
1538,0,573,2017-03-18,2018-10-12,29585,0,HU,0
95819,0,1809,2013-10-29,2018-10-12,29592,0,HU,1
1504,0,649,2017-01-01,2018-10-12,29662,0,DA,0
717,0,200,2018-03-11,2018-09-27,29799,0,NO,0
8462,0,619,2017-01-28,2018-10-09,29822,0,HU,1
2811,0,1023,2015-12-11,2018-09-29,29914,0,DA,0
203889,1,789,2016-08-14,2018-10-12,29948,0,DA,0
14443,1,691,2016-11-20,2018-10-12,30116,0,HU,1
8415,1,1639,2014-04-17,2018-10-12,30225,0,NO,1
15394,0,1231,2015-05-29,2018-10-11,30250,0,DA,1
3797,1,1936,2013-06-05,2018-09-23,30404,0,HU,0
1989,0,980,2016-02-04,2018-10-11,30783,0,HU,0
3160,0,1043,2015-11-06,2018-09-14,30929,0,DA,0
5742,0,1519,2014-08-14,2018-10-11,30980,0,HU,1
6367,1,1664,2014-03-23,2018-10-12,31548,0,HU,1
71701,0,1809,2013-10-29,2018-10-12,31562,0,DA,1
48141,0,2078,2013-02-02,2018-10-12,31800,0,HU,1
88330,1,1271,2015-04-20,2018-10-12,31907,0,DA,1
1033,0,1959,2013-05-27,2018-10-07,32083,0,NO,0
14887,1,2476,2012-01-01,2018-10-12,32255,0,NO,0
7630,0,2268,2012-07-21,2018-10-06,32467,0,DA,1
123787,1,2257,2012-07-26,2018-09-30,32688,0,HU,0
109755,1,1663,2014-03-24,2018-10-12,32721,0,DA,1
652,0,1666,2013-10-06,2018-04-29,32846,1,HU,0
4050,0,1929,2013-06-30,2018-10-11,32872,0,DA,1
58951,1,1810,2013-10-24,2018-10-08,32886,0,NO,1
26094,1,1008,2016-01-08,2018-10-12,33011,0,HU,1
32340,0,869,2016-05-26,2018-10-12,33284,0,NO,1
24945,0,635,2017-01-15,2018-10-12,33992,0,HU,1
3457,1,1085,2015-10-23,2018-10-12,34024,0,NO,1
4115,0,361,2017-10-15,2018-10-11,34100,0,HU,1
5078583,0,2658,2011-07-03,2018-10-12,34164,0,DA,0
6279,1,1070,2015-11-07,2018-10-12,34230,0,HU,1
16929,1,1314,2015-03-08,2018-10-12,34333,0,NO,1
22295,0,2685,2011-06-06,2018-10-12,34526,0,HU,1
12956,0,2667,2011-06-04,2018-09-22,34533,0,DA,1
238004,1,2645,2011-07-16,2018-10-12,34745,0,NO,0
3593,0,365,2017-10-09,2018-10-09,34776,0,HU,1
4834,0,378,2017-09-19,2018-10-02,34799,0,DA,1
24263,1,393,2017-09-14,2018-10-12,34864,0,HU,1
4567,1,394,2017-09-13,2018-10-12,35105,0,HU,1
2879,0,1621,2014-04-29,2018-10-06,35120,0,HU,0
22638,1,207,2018-03-19,2018-10-12,35769,0,NO,1
1871584,0,2422,2012-02-24,2018-10-12,35881,0,NO,0
3349,0,2485,2011-12-23,2018-10-12,36151,0,DA,1
16249,1,762,2016-09-09,2018-10-11,36895,0,DA,1
2351,0,893,2016-04-23,2018-10-03,37103,0,DA,1
543,0,78,2018-05-06,2018-07-23,37108,0,DA,0
4658,0,2118,2012-12-22,2018-10-10,37214,0,DA,0
8440,0,1637,2014-04-19,2018-10-12,37245,0,HU,0
580859,1,1164,2015-08-05,2018-10-12,37438,0,HU,0
2031,1,791,2016-08-11,2018-10-11,37509,0,DA,1
421000,0,2377,2012-04-09,2018-10-12,37535,0,DA,0
8355,0,2139,2012-12-03,2018-10-12,37824,0,DA,1
4120,1,1947,2013-06-12,2018-10-11,37837,0,HU,1
4479,0,1869,2013-08-30,2018-10-12,38066,0,HU,1
50551,0,1641,2014-04-15,2018-10-12,38377,0,DA,1
2500,0,1133,2015-08-16,2018-09-22,38384,0,HU,0
1964,0,1596,2014-05-20,2018-10-02,38397,0,NO,1
1377,1,1977,2013-05-05,2018-10-03,38581,0,DA,0
3601,1,1166,2015-08-03,2018-10-12,38928,0,NO,1
1932,1,1842,2013-09-21,2018-10-07,39184,0,HU,0
27309,1,1746,2013-12-30,2018-10-11,39215,0,NO,0
379266,1,2461,2012-01-16,2018-10-12,39592,0,DA,0
26349,0,2666,2011-06-24,2018-10-11,39796,0,DA,1
55890,1,1967,2013-05-24,2018-10-12,40041,0,DA,1
221418,0,2049,2013-03-03,2018-10-12,40194,0,NO,1
962,0,1840,2013-09-18,2018-10-02,40215,0,DA,0
1126,1,2405,2012-03-09,2018-10-09,40296,0,DA,1
4759,1,729,2016-10-13,2018-10-12,40336,0,HU,1
3857,1,1950,2013-02-27,2018-07-01,40414,1,NO,0
1844,1,2038,2013-03-12,2018-10-10,40689,0,HU,1
653877,0,2155,2012-11-17,2018-10-12,40811,0,DA,0
7193,1,590,2017-02-26,2018-10-09,40934,0,DA,1
7266,1,1421,2014-11-21,2018-10-12,41031,0,DA,1
5530,0,2410,2012-03-07,2018-10-12,41466,0,DA,0
9645,0,1336,2015-02-10,2018-10-08,41538,0,DA,1
5986,1,1145,2015-08-24,2018-10-12,41602,0,HU,0
508,1,1470,2014-10-03,2018-10-12,41933,0,HU,0
11612,0,483,2017-06-16,2018-10-12,41993,0,HU,1
74908,0,992,2016-01-24,2018-10-12,42021,0,HU,1
231357,1,1732,2014-01-14,2018-10-12,42221,0,NO,0
4212,0,1551,2014-07-01,2018-09-29,42338,0,NO,1
42819,0,1968,2013-05-23,2018-10-12,42570,0,NO,1
4362,1,1711,2013-12-26,2018-09-02,42756,0,NO,0
9020,1,2098,2013-01-13,2018-10-12,43021,0,NO,1
3570,0,2330,2012-03-11,2018-07-28,43257,0,DA,0
53168,0,2223,2012-09-10,2018-10-12,43369,0,DA,1
1841,0,545,2017-04-09,2018-10-06,43401,0,DA,0
4722,0,1394,2014-12-18,2018-10-12,43482,0,DA,1
15997,0,2814,2011-01-02,2018-09-16,43559,0,NO,0
16147,1,479,2017-06-20,2018-10-12,43615,0,DA,1
43655,0,2337,2012-05-19,2018-10-12,44129,0,HU,1
9084,0,2252,2012-08-12,2018-10-12,44238,0,DA,0
44975,1,1427,2014-11-15,2018-10-12,44398,0,DA,1
995,0,1135,2015-08-24,2018-10-02,44723,0,HU,0
16496,0,2443,2012-01-14,2018-09-22,44940,0,NO,0
3512,0,1291,2015-03-31,2018-10-12,45028,0,NO,1
1729,0,1276,2015-04-13,2018-10-10,45099,0,NO,0
641266,1,1346,2015-02-04,2018-10-12,45492,0,DA,0
4798,0,2188,2012-10-13,2018-10-10,45507,0,DA,1
3527,0,2029,2013-03-22,2018-10-11,45577,0,DA,0
2312,1,1100,2015-10-08,2018-10-12,45748,0,NO,1
2888,1,251,2018-02-03,2018-10-12,45892,0,HU,1
1674,0,2479,2011-12-28,2018-10-11,46029,0,NO,0
7088,1,408,2017-08-30,2018-10-12,46155,0,HU,1
99195,0,624,2017-01-26,2018-10-12,46301,0,HU,1
39361,0,1149,2015-08-20,2018-10-12,46323,0,DA,1
1014,0,1254,2015-04-24,2018-09-29,46403,0,HU,0
434,0,2288,2012-07-03,2018-10-08,46585,0,NO,0
495,0,2022,2013-03-13,2018-09-25,46730,0,NO,0
9881,0,1427,2014-09-26,2018-08-23,46861,0,HU,0
70414,1,1841,2013-09-27,2018-10-12,46944,0,HU,1
12185,0,1040,2015-12-04,2018-10-09,46966,0,HU,1
893853,1,2662,2011-06-28,2018-10-11,46972,0,DA,0
1788,0,2272,2012-06-08,2018-08-28,47336,0,NO,0
91054,0,2214,2012-09-19,2018-10-12,47456,0,DA,0
1667,0,1806,2013-10-26,2018-10-06,47485,0,HU,0
1660,0,201,2018-03-23,2018-10-10,47532,0,DA,0
56120,1,1294,2015-03-28,2018-10-12,47557,0,HU,1
499929,0,2328,2012-05-28,2018-10-12,48105,0,HU,0
7702,0,2014,2013-04-06,2018-10-11,48109,0,DA,1
988,0,1566,2014-04-03,2018-07-17,48170,0,HU,0
4852,1,1826,2013-10-10,2018-10-10,48177,0,NO,0
5955,0,1211,2015-06-19,2018-10-12,48196,0,NO,1
57589,1,3375,2009-07-15,2018-10-11,48303,0,NO,1
435,0,198,2018-03-22,2018-10-06,48346,0,DA,0
5090,0,1451,2014-10-08,2018-09-28,48748,0,NO,1
8664,1,1648,2014-04-07,2018-10-11,48810,0,DA,1
3263,0,234,2018-02-18,2018-10-10,48845,0,DA,1
19043,1,2679,2011-06-12,2018-10-12,48860,0,DA,1
5829,0,1793,2013-11-10,2018-10-08,48982,0,HU,1
9100,1,1192,2015-07-08,2018-10-12,49255,0,NO,1
2056264,0,2417,2012-02-29,2018-10-12,49444,0,HU,0
915,1,277,2018-01-06,2018-10-10,49731,0,HU,0
12742,0,2580,2011-09-18,2018-10-11,49779,0,NO,0
2066,0,1983,2013-04-21,2018-09-25,49858,0,HU,0
11989,0,2428,2012-01-07,2018-08-31,49875,0,DA,0
490,1,1265,2015-03-01,2018-08-17,49933,0,NO,0
1038,0,1965,2013-03-24,2018-08-10,49958,0,NO,0
10060,0,2016,2013-03-30,2018-10-06,49962,0,NO,0
1352,1,2031,2013-03-05,2018-09-26,50226,0,HU,0
4090,0,1415,2014-11-25,2018-10-10,50249,0,NO,0
16361,0,1385,2014-12-27,2018-10-12,50270,0,DA,1
16780,0,1689,2014-02-25,2018-10-11,50589,0,DA,1
212141,0,1773,2013-12-04,2018-10-12,50592,0,DA,0
914,0,237,2018-01-29,2018-09-23,50787,0,NO,0
176306,0,1701,2014-02-14,2018-10-12,50844,0,NO,0
11602,1,1175,2015-07-25,2018-10-12,51017,0,HU,1
13258,0,964,2016-02-21,2018-10-12,51020,0,DA,1
11035,0,3757,2008-06-29,2018-10-12,51258,0,DA,1
3647,0,1865,2013-08-28,2018-10-06,51384,0,HU,0
178208,0,2623,2011-08-07,2018-10-12,51429,0,DA,0
430,0,1670,2014-02-16,2018-09-13,51706,0,DA,0
477264,1,1882,2013-08-17,2018-10-12,51952,0,NO,0
1815,0,688,2016-11-23,2018-10-12,52590,0,HU,1
8725,0,1248,2015-05-12,2018-10-11,52845,0,NO,1
5725,0,941,2016-03-05,2018-10-02,53197,0,NO,1
2020,1,2010,2013-04-09,2018-10-10,53205,0,DA,0
1035,1,867,2016-05-28,2018-10-12,53343,0,HU,1
9695,0,1656,2014-03-31,2018-10-12,53392,0,HU,1
178599,1,2039,2013-03-13,2018-10-12,53395,0,HU,0
5567,0,506,2017-05-24,2018-10-12,53422,0,NO,1
138151,0,2311,2012-06-14,2018-10-12,53457,0,HU,0
123946,0,2317,2012-06-08,2018-10-12,53505,0,DA,1
9912,1,1201,2015-06-29,2018-10-12,53706,0,HU,1
3003586,0,3093,2010-04-24,2018-10-12,54065,0,DA,0
13434,1,1030,2015-12-17,2018-10-12,54106,0,DA,1
2099,1,1721,2014-01-03,2018-09-20,54167,0,HU,0
6612,0,2041,2013-03-08,2018-10-09,54304,0,DA,1
5841,1,1741,2014-01-05,2018-10-12,54342,0,NO,1
3665,0,1947,2013-06-03,2018-10-02,54530,0,DA,1
5417,1,2688,2011-06-03,2018-10-12,54575,0,NO,1
584,0,2197,2012-09-27,2018-10-03,54636,0,HU,0
1877,1,2025,2013-03-21,2018-10-06,55064,0,HU,0
651829,0,2358,2012-04-28,2018-10-12,55152,0,HU,0
21189,1,957,2016-02-26,2018-10-10,55268,0,HU,1
23408,1,982,2016-02-01,2018-10-10,55301,0,DA,1
1406,1,945,2016-02-21,2018-09-23,55351,0,HU,0
14699,1,938,2016-03-15,2018-10-09,55796,0,DA,1
7506,0,2756,2011-03-09,2018-09-24,55926,0,NO,0
10713,0,2462,2012-01-01,2018-09-28,56142,0,NO,0
134240,1,2471,2012-01-06,2018-10-12,56249,0,HU,1
5616,0,1596,2014-05-29,2018-10-11,56288,0,HU,1
1536,0,1936,2013-06-09,2018-09-27,56289,0,NO,1
9943,0,384,2017-09-22,2018-10-11,56299,0,DA,1
753,1,467,2017-06-29,2018-10-09,56304,0,HU,0
12453,1,1312,2015-03-08,2018-10-10,56460,0,DA,1
4322,1,1967,2013-05-24,2018-10-12,56515,0,NO,1
18874,1,969,2016-02-16,2018-10-12,56530,0,NO,1
10748,0,751,2016-09-16,2018-10-07,56583,0,DA,1
2275,1,2113,2012-12-26,2018-10-09,56737,0,NO,1
10417,1,709,2016-11-02,2018-10-12,56883,0,HU,1
3348,1,2283,2012-07-11,2018-10-11,56995,0,HU,0
2025,1,1994,2013-03-30,2018-09-14,57075,0,HU,0
5786,1,896,2016-04-29,2018-10-12,57308,0,HU,1
40176,0,2766,2011-03-09,2018-10-04,57343,0,DA,1
59709,0,1755,2013-12-22,2018-10-12,57377,0,HU,0
14040,1,2189,2012-10-14,2018-10-12,57516,0,NO,1
132383,0,1990,2013-05-01,2018-10-12,57834,0,DA,1
17428,0,2214,2012-09-19,2018-10-12,58085,0,DA,0
386,1,1670,2014-03-12,2018-10-07,58200,0,NO,0
39187,0,1493,2014-09-02,2018-10-04,58423,0,HU,0
14809,0,2318,2012-05-20,2018-09-24,58640,0,DA,1
566,0,816,2016-06-02,2018-08-27,58731,0,HU,0
8193,1,277,2018-01-08,2018-10-12,58789,0,NO,1
3217,0,2050,2013-02-21,2018-10-03,58840,0,NO,0
29244,1,1471,2014-10-02,2018-10-12,59178,0,DA,1
14940,1,1298,2015-03-24,2018-10-12,59251,0,DA,1
2872,0,1293,2015-03-25,2018-10-08,59336,0,DA,0
512,0,779,2016-08-04,2018-09-22,59440,0,DA,0
1064360,1,877,2016-05-18,2018-10-12,59573,0,HU,0
6924,0,867,2016-05-27,2018-10-11,59583,0,DA,1
7168,0,1647,2014-04-09,2018-10-12,60023,0,HU,1
4460,1,1071,2015-11-06,2018-10-12,60091,0,DA,1
4666,1,1532,2014-08-02,2018-10-12,60577,0,NO,0
3737,0,975,2016-02-06,2018-10-08,60662,0,DA,1
4242,1,2073,2013-02-03,2018-10-08,60750,0,NO,1
2535,1,1917,2013-06-21,2018-09-20,60753,0,NO,0
3288,0,2208,2012-09-25,2018-10-12,60969,0,NO,1
56548,0,1201,2015-06-28,2018-10-11,60976,0,DA,1
4678,1,2614,2011-08-13,2018-10-09,61062,0,NO,1
7247,0,1940,2013-06-20,2018-10-12,61146,0,DA,1
4223,0,2345,2012-03-20,2018-08-21,61572,0,HU,0
58175,1,2737,2011-04-15,2018-10-12,61656,0,DA,0
5379,0,2466,2012-01-11,2018-10-12,61667,0,DA,0
3417,0,1524,2014-08-04,2018-10-06,61706,0,NO,0
